user_id;sex;age;university;graduation_year
178;Муж;44;ВГПУ;1996
179;Муж;38;СибГТУ;2005
181;Жен;23;МГУЛ;N/A
182;Муж;30;ВЮИ ФСИН РФ;2010
184;Муж;26;МГТУ им. Н.Э. Баумана;2014
185;Жен;43;ВолГУ;2002
189;Муж;30;ВятГГУ;2010
192;Муж;54;РЭА им. Г. В. Плеханова;N/A
194;Муж;49;ВятГУ;N/A
195;Жен;43;СибГИУ;2006
196;Муж;31;КГТУ-КАИ им. Туполева;N/A
197;Муж;32;СГСЭУ;2006
198;Муж;45;АТиСО;2005
199;Жен;44;РосЗИТЛП;1997
201;Муж;43;МГУЛ;N/A
202;Жен;44;КГМУ;1993
203;Муж;35;ИМПЭ им. Грибоедова;2004
205;Муж;25;МГТУ им. Н. Э. Баумана;2015
206;Муж;33;МГОУ;2006
207;Муж;36;КГМУ;2004
208;Муж;26;МГСУ НИУ;2012
209;Муж;37;РГУПС;2004
210;Жен;48;ПИ СФУ;1994
211;Жен;27;СмолГУ;2012
212;Муж;32;МГИУ;N/A
213;Муж;34;ОмГАУ;N/A
214;Жен;31;ЮЗГУ;2008
215;Муж;25;ЮУрГУ;2015
216;Муж;31;ЮУрГУ;2008
219;Жен;28;ПГНИУ;2010
221;Муж;41;КГТЭИ;1997
222;Муж;51;ПНИПУ;1989
223;Жен;37;МФПА;2011
224;Жен;57;АГТУ;N/A
225;Жен;40;МаГУ;1999
226;Муж;33;ННГАСУ;2007
227;Муж;24;ВятГУ;2014
228;Муж;34;ТГУ;N/A
229;Муж;30;УрФУ;2011
231;Жен;31;УралГУФК;2008
233;Муж;24;УдГУ;N/A
234;Муж;21;ДВФУ;N/A
237;Жен;32;ДВФУ;2006
238;Муж;33;КемТИПП;N/A
240;Муж;34;СГА;N/A
241;Муж;35;ИГАСУ;2003
242;Жен;29;АГУ;2012
244;Муж;37;МГИУ;N/A
246;Муж;39;ВВВУТ;2000
247;Муж;33;ВГУЭС;2005
250;Муж;27;МТУСИ;2011
251;Жен;32;ТПУ;2009
252;Муж;30;МГТУ;2011
253;Муж;30;МФЮА;2008
256;Муж;31;СПбГУ;2007
257;Муж;58;МАИ;1987
258;Муж;21;МИИТ;N/A
259;Жен;34;БелГУ;2008
261;Муж;31;БФУ им. Канта;N/A
262;Муж;42;ЮЗГУ;2005
263;Муж;28;НГСХА;2011
264;Муж;59;РГУНГ им. Губкина;1977
267;Жен;39;УГТУ-УПИ им. Б. Н. Ельцина;2002
269;Муж;28;ТулГУ;N/A
272;Муж;42;МГИУ;2010
273;Жен;38;МФЮА;N/A
274;Муж;31;ОГАУ;2007
275;Жен;27;МГИМО;N/A
276;Муж;42;ННГУ им. Лобачевского;1996
278;Муж;33;ВГАВТ;2012
280;Муж;35;ХГАЭиП;N/A
281;Жен;41;МГАКХиС;1998
282;Жен;37;РГГУ;2003
283;Муж;37;МГТУ им. Н. Э. Баумана;2003
284;Муж;41;НГТУ им. Алексеева;1999
285;Муж;45;МГУПИ;1996
288;Жен;46;МГГУ;2009
291;Муж;28;МГПУ;2010
292;Муж;32;МИГКУ;2009
293;Муж;36;БГТУ им. В. Г. Шухова;N/A
295;Жен;32;РГСУ;2009
297;Муж;26;РГАТУ;N/A
298;Муж;34;ИГЭУ им. Ленина;2003
299;Муж;40;КГСХА;N/A
300;Муж;28;СПбГУТ им. Бонч-Бруевича;2010
302;Жен;60;СПбГПУ Политех;1979
303;Муж;31;ННГУ им. Лобачевского;N/A
304;Муж;26;КГТА им. Дегтярева;2014
305;Жен;56;ДВГУПС;2002
307;Муж;29;СГА;2010
308;Муж;43;СПбГТИ;1999
309;Жен;47;ВИБ;N/A
311;Муж;43;ЯГПУ им. Ушинского;1995
312;Муж;39;ВлГУ;2007
313;Муж;34;СПбГУКИ;2007
315;Муж;44;МГТУ им. Н. Э. Баумана;N/A
316;Муж;48;ИГХТУ;1993
318;Жен;38;МЭСИ;2003
319;Муж;48;СПбГУП;1997
320;Муж;42;НовГУ;N/A
321;Жен;30;ДВГУ;2009
322;Муж;41;СПбГЭУ;N/A
324;Муж;31;АГТУ;2005
326;Муж;32;СПбГУ;2006
328;Жен;26;УрГУПС;2012
329;Муж;33;УрФУ;2007
330;Жен;49;УГТУ;1990
334;Муж;45;ЮУрГУ;N/A
335;Муж;37;УГЛТУ;2003
336;Муж;27;ОГАУ;2011
337;Муж;40;ИжГСХА;2002
339;Жен;37;МИЭП;2006
342;Жен;39;УрГЭУ;1998
343;Муж;26;УрФУ;2012
344;Жен;29;МГУ;2013
345;Муж;34;ТГУ;2005
346;Муж;34;АлтГТУ им. Ползунова;2007
348;Муж;20;КрасГАУ;2006
349;Муж;54;КрасГМУ;1986
350;Муж;37;ОмГТУ;N/A
355;Муж;37;КГТЭИ;N/A
356;Муж;52;СПбГУАП;1986
357;Муж;37;НГПУ;N/A
358;Муж;38;СибГИУ;N/A
361;Муж;27;ДВФУ;2011
362;Муж;49;НГТУ;1998
365;Муж;35;ДВГТУ;2003
367;Муж;59;КГЭУ;1984
371;Муж;45;ДВГУПС;2008
373;Жен;34;НГТУ;2008
374;Муж;39;КрасГАУ;N/A
375;Муж;45;СибГТУ;1994
376;Муж;52;ТГУ;1986
377;Муж;38;ИрГТУ;2012
381;Муж;36;ДВФУ;2003
382;Муж;24;ИрГТУ;2014
383;Муж;40;ДВГТУ;N/A
387;Муж;26;РосНОУ;N/A
388;Жен;31;МИКХиС;N/A
391;Муж;29;ГУЗ;2009
394;Жен;56;ВолгГТУ;1983
396;Муж;42;ТюмГНГУ;2001
397;Муж;34;РГСУ;2005
398;Муж;40;МГУ;1999
399;Муж;31;МГТУ МИРЭА;2009
401;Муж;33;МГИУ;2011
405;Муж;39;МАЭП;N/A
407;Жен;42;МАТИ;1997
409;Муж;48;МИЭТ;1990
410;Муж;52;ВИТУ;N/A
411;Жен;43;РГСУ;N/A
413;Муж;55;МИИТ;2004
415;Жен;54;РУК;N/A
416;Муж;32;МЭСИ;2011
418;Муж;30;ВГТУ;2008
419;Муж;45;ННГУ им. Лобачевского;1998
422;Жен;34;Финансовый университет;2003
423;Муж;39;МАДИ;N/A
425;Муж;31;РГСУ;2011
429;Муж;57;МГУКИ;1981
430;Муж;30;МГТУ им. Н.Э. Баумана;2009
431;Жен;33;МГУП;2005
432;Муж;49;РЭУ им. Г. В. Плеханова;1992
435;Муж;23;МИГУП;2008
437;Муж;25;Университет машиностроения;2012
438;Жен;42;НГТУ;N/A
439;Муж;47;МГУ;2003
440;Жен;50;МПГУ;N/A
441;Муж;43;ЧГУ;1996
442;Муж;36;РЭУ им. Г. В. Плеханова;N/A
444;Муж;37;МАИ;2000
445;Муж;31;РГУНГ им. Губкина;2007
446;Муж;42;РосНОУ;N/A
448;Муж;38;МГЛУ;2000
454;Муж;41;МГУ;N/A
456;Жен;35;УРАО;2003
458;Жен;37;МГУ;2006
459;Муж;59;МТУСИ;N/A
461;Муж;41;ТГСХА;1999
462;Жен;25;РГУ им. Есенина;2013
463;Жен;57;РГАЗУ;1983
464;Муж;51;СГУ им. Чернышевского;1989
466;Муж;33;МГУ;1997
467;Муж;33;РГСУ;N/A
469;Жен;46;МГТУ им. Н. Э. Баумана;2008
470;Муж;34;РУК;2003
471;Жен;36;МАЭП;2001
472;Муж;27;МГОУ им. Черномырдина;2014
473;Муж;29;ТГУ;2009
474;Муж;39;МГУТУ;2015
475;Муж;36;МТУСИ;2004
477;Муж;42;МГЭИ;1998
478;Муж;34;МГТУ Станкин;2006
480;Муж;31;МФЮА;2012
481;Муж;36;МЭСИ;2003
482;Муж;42;КГУКИ;1994
484;Жен;30;КГУ им. Некрасова;2008
485;Жен;44;МГУПП;1994
486;Муж;34;МГСУ-МИСИ;N/A
487;Муж;33;СПбГУТ им. Бонч-Бруевича;2005
488;Жен;54;ГУЗ;1984
489;Муж;32;МГУПС;2006
490;Муж;39;МАБиУ;2004
492;Муж;25;СПбГЭУ;N/A
493;Муж;52;МарГТУ;1986
495;Муж;31;МГИУ;2010
496;Муж;32;КФУ;2006
497;Муж;27;МГУ;2011
499;Муж;43;МИРЭА;2000
500;Муж;37;МГТУ Станкин;2000
501;Муж;47;МГТУ им. Баумана;1992
502;Муж;26;ИНЭКА;2012
504;Муж;41;РГСУ;1997
506;Жен;32;СГАУ;2007
507;Муж;38;СГАУ им. Королева;2001
508;Муж;57;РГАУ-МСХА им. Тимирязева;1982
509;Муж;22;ОГУ;2015
510;Жен;56;НИУ МЭИ;1984
512;Жен;34;УРАО;N/A
514;Муж;36;АГУ;2000
515;Муж;27;РГСУ;2011
516;Муж;32;ТГУ;2008
517;Жен;53;КубГТУ;N/A
518;Муж;31;КФУ;2009
519;Муж;37;СамГТУ;2007
521;Муж;38;КубГТУ;N/A
522;Муж;27;КУ МВД;2013
523;Жен;33;СГУТиКД;N/A
525;Жен;35;РГЭУ РИНХ;2003
526;Муж;33;ЮРГТУ;2006
527;Жен;37;ЧГПУ;2002
528;Жен;30;ЕГУ им. Бунина;2008
529;Муж;31;КубГТУ;2007
530;Муж;38;ВГАВТ;1999
531;Муж;31;ЮРГТУ;2007
532;Муж;39;СГА;N/A
533;Муж;44;КГУ;2004
534;Жен;41;СПбГУ;N/A
536;Муж;30;МГАФК;2009
537;Муж;35;РУДН;2012
538;Жен;59;КубГУ;2005
539;Муж;51;СГУ;2007
540;Муж;43;РГУПС;N/A
542;Муж;31;БГТУ им. Шухова;2007
544;Муж;31;ННГУ им. Лобачевского;N/A
548;Муж;31;АГУ;N/A
551;Муж;33;КГУ;2005
554;Жен;52;ВятГГУ;2005
555;Муж;30;ПГТУ;2011
557;Муж;36;ВГТУ;2002
559;Муж;33;КГТУ;2005
560;Муж;42;ОГУ;1996
561;Муж;41;ВГЛТА;N/A
562;Муж;29;НГТУ им. Алексеева;2013
563;Муж;29;ТвГУ;N/A
565;Муж;26;ИГЭУ им. Ленина;2012
567;Жен;39;ВГУ;2000
570;Муж;27;ИжГТУ;N/A
571;Муж;45;МФЮА;2005
574;Муж;36;ННГУ им. Лобачевского;2002
576;Муж;31;РГАТА;2008
577;Муж;26;ГУУ;N/A
578;Муж;40;СГА;2007
579;Муж;24;ИГЭУ им. Ленина;2014
582;Жен;39;ОГУ;2003
583;Муж;29;БГТУ им. Шухова;2009
585;Муж;30;ИГСХА;2008
586;Муж;31;ИГТА;2008
587;Муж;31;БУПК;2008
588;Муж;37;ИГАСУ;N/A
590;Муж;36;ВлГУ им. А.Г. и Н.Г. Столетовых;2005
591;Муж;30;БГУ им. Петровского;2008
592;Муж;34;ВлГУ им. А.Г. и Н.Г. Столетовых;N/A
593;Муж;41;СПбГЭТУ;1998
594;Муж;34;ТвГУ;2004
595;Муж;38;ВлГУ;2004
596;Жен;28;МПСИ;2011
597;Муж;36;РГРТУ;2003
598;Муж;25;СПбГЭТУ;N/A
599;Муж;29;МГУ;2011
600;Муж;24;СГА;2010
601;Муж;37;НИ;2002
602;Муж;28;ВЭПИ;2010
603;Муж;34;ТулГУ;2008
604;Жен;33;КГМУ;2005
605;Жен;32;СГА;2005
608;Муж;34;СПбГПУ Политех;2005
609;Муж;34;СПбГПУ Политех;2004
610;Муж;34;ВКА им. Можайского;2005
612;Муж;23;СПбГПУ Политех;N/A
613;Жен;55;РГПУ им. Герцена;1987
614;Жен;35;СПбГУ ИТМО;2007
615;Муж;43;ПГУПС;2005
620;Муж;43;УрФУ им. Б. Н. Ельцина;1995
621;Муж;35;ЧГУ им. Ульянова;2005
622;Муж;34;КГТУ;2005
623;Муж;46;ВКА им. Можайского;1992
626;Муж;56;УрГПУ;1982
627;Муж;50;СПбГПУ Политех;1989
629;Муж;31;ПИ;N/A
630;Муж;24;КГУ;2015
633;Муж;25;МИСиС;2013
636;Жен;33;ПГУАС;2005
637;Муж;39;МГОУ;2009
638;Муж;33;ТГУ;N/A
639;Жен;31;ХГАЭиП;2008
643;Муж;35;ТПУ;2003
647;Муж;27;СибГУТИ;N/A
648;Муж;30;СибГУТИ;2009
651;Жен;26;ОмГТУ;2013
652;Муж;34;СибГТУ;2004
653;Жен;54;ТоГУ;1984
654;Муж;32;ДВГУ;2014
655;Муж;51;МГУ им. адмирала Невельского;2012
656;Жен;35;БГСХА;N/A
657;Муж;24;ТоГУ;2015
658;Муж;34;СахГУ;2004
659;Муж;37;ТоГУ;2012
660;Муж;50;МГУ им. адмирала Невельского;N/A
661;Муж;33;ТоГУ;2005
662;Жен;50;МГОУ;1986
664;Муж;42;МГАВТ;N/A
665;Муж;47;АТиСО;1997
666;Муж;33;МГУС / РГУТиС;2005
669;Жен;33;СурГУ;2009
670;Муж;39;МГУПИ;2001
671;Муж;30;МГУПИ;N/A
672;Жен;37;ТУСУР;2013
674;Муж;60;СПбГТИ;1980
675;Жен;26;НИБ;2013
676;Жен;58;МГУ;1981
677;Муж;32;МЭИ;2009
679;Муж;35;РГГРУ;N/A
681;Муж;32;РГТЭУ;2004
683;Муж;40;МГТУ им. Н.Э. Баумана;2000
684;Муж;34;МГУПИ;N/A
685;Муж;36;РГГУ;2002
686;Муж;23;МГИУ;2015
687;Муж;37;МГТУ Станкин;2000
688;Муж;33;"МГТУ ""МАМИ""";N/A
689;Жен;31;МГИМО;2009
690;Жен;37;РГГУ;N/A
691;Муж;43;МГУПИ;1996
694;Муж;28;МФПУ Синергия;2012
697;Муж;37;НИУ МЭИ;2002
700;Муж;46;МПГУ;N/A
701;Муж;43;РосНОУ;2007
703;Муж;32;"МГТУ ""МАМИ""";2006
704;Муж;54;МГЮА им. О. Е. Кутафина;N/A
706;Муж;28;МГУПИ;2007
707;Муж;42;МПСИ;2011
710;Муж;36;МАТИ;N/A
712;Муж;38;МГУПБ;N/A
714;Муж;32;МГАУ им. Горячкина;2011
716;Муж;38;"МГТУ ""МАМИ""";2001
717;Жен;39;МГУ;2000
721;Жен;29;ОмГПУ;N/A
722;Муж;39;НИЯУ МИФИ;2001
723;Жен;46;МПГУ;2002
724;Муж;30;РГСУ;2008
725;Жен;33;РосНОУ;N/A
726;Муж;44;СибГТУ;1994
727;Муж;31;МИРЭА;2009
728;Муж;33;РУДН;2006
729;Муж;45;АГПС;1994
730;Муж;45;МИРЭА;1994
731;Жен;46;РУК;2001
734;Муж;32;РГСУ;N/A
736;Муж;34;"МГТУ ""МАМИ""";2009
737;Жен;30;РГГУ;2008
739;Жен;33;МГУДТ;2006
742;Муж;60;МАИ;1987
743;Муж;35;МГУС / РГУТиС;2002
744;Муж;37;МГСУ-МИСИ;N/A
745;Муж;42;КГУФКСТ;2000
746;Муж;37;РГСУ;2001
747;Жен;57;МГГУ;1977
748;Муж;32;ЭПИ;2009
749;Муж;54;МГУТУ им. К.Г. Разумовского;N/A
750;Муж;49;МИФИ;1992
752;Муж;29;МИЭМП;N/A
754;Муж;31;"МГТУ ""МАМИ""";N/A
755;Муж;25;Финансовый университет;N/A
756;Муж;51;МАИ;1988
757;Муж;53;МЭИ;1986
759;Жен;32;МГУПИ;2006
761;Муж;52;ВВВУТ;1985
762;Муж;28;МГГУ;2010
763;Муж;35;МИИТ;2005
764;Муж;27;МГУЛ;2011
765;Муж;34;МФЮА;2007
766;Жен;41;МГОУ им. Черномырдина;N/A
767;Муж;25;МГУТУ;N/A
769;Муж;31;МГУПП;N/A
771;Муж;31;ИМПЭ им. Грибоедова;2008
772;Муж;35;МАИ;2004
773;Муж;38;МГСУ НИУ;N/A
774;Муж;29;МЭСИ;2009
776;Муж;51;УГНТУ;1988
778;Муж;36;МИГУП;2014
780;Муж;27;СГТУ;N/A
781;Жен;26;МГИУ;2012
783;Муж;33;СГУ им. Чернышевского;2006
784;Муж;39;НИ МГУ им. Огарева;2009
787;Муж;27;АГУ;2013
788;Муж;44;ТГУ;1994
790;Муж;33;БИТИ НИЯУ МИФИ;N/A
791;Жен;42;СГЭУ;1997
792;Муж;33;НИ МГУ им. Огарева;2005
794;Муж;35;ПГУ;2003
795;Жен;53;СГЭУ;1984
797;Муж;53;СГТУ;1987
798;Жен;28;ННГУ им. Лобачевского;2011
800;Муж;27;ПГТА;N/A
801;Муж;51;СГУ им. Чернышевского;1990
803;Жен;38;ПГСХА;N/A
804;Муж;36;ВолГАУ;2004
806;Муж;24;ВГПУ;N/A
807;Жен;37;МЭСИ;2009
808;Муж;27;ВолГАУ;N/A
809;Муж;41;ВолгГАСУ;N/A
812;Муж;56;СамГТУ;N/A
813;Муж;25;ТГУ;2015
814;Муж;25;ГГНИ им. Миллионщикова;N/A
815;Муж;29;МИЭП;N/A
817;Муж;27;ЮФУ;2013
818;Муж;32;КубГАУ;N/A
820;Муж;24;СГА;2015
821;Муж;38;ЧГУ им. Ульянова;2007
822;Муж;33;УлГТУ;N/A
823;Муж;25;РГСУ;2013
824;Муж;46;ЧГУ;1999
825;Жен;55;СамГТУ;2000
827;Муж;28;КубГУ;2012
828;Муж;28;МГУ;2010
829;Жен;38;НГМА;1995
830;Муж;26;РЭУ им. Г. В. Плеханова;N/A
832;Муж;38;ТТИ ЮФУ;2000
834;Муж;42;ТюмГАСУ;1996
835;Муж;45;РГУПС;1995
836;Муж;34;ГУУ;2004
837;Муж;30;ПГТУ;N/A
838;Жен;32;СевКавГТУ;2006
840;Муж;42;ЮФУ;2001
842;Муж;37;МГИУ;N/A
843;Муж;30;РГАЗУ;2011
844;Муж;40;СГА;N/A
847;Жен;47;РГСУ;2000
848;Муж;28;СКГМИ;2009
849;Муж;33;ДГПУ;N/A
850;Муж;28;КубГУ;2010
851;Муж;43;КГТУ;1992
852;Муж;32;ТюмГАСУ;N/A
853;Муж;37;ГГНТУ;N/A
854;Муж;34;МГИМО;2012
856;Муж;27;ЧГУ;2013
858;Муж;30;ГГНИ им. Миллионщикова;2007
859;Муж;27;ДГУ;2013
860;Жен;30;ЮФУ;2008
861;Жен;39;СОГУ им. Хетагурова;2001
862;Муж;30;ТюмГНГУ;2014
863;Муж;29;СГА;N/A
864;Жен;40;ЮФУ;2000
865;Жен;36;СКГМИ;N/A
866;Муж;37;РГСУ;N/A
867;Муж;45;ГГНТУ;N/A
868;Муж;25;ЧГУ;2013
869;Жен;43;СОГУ им. Хетагурова;N/A
870;Муж;37;МГСУ-МИСИ;2002
871;Муж;21;СамГТУ;N/A
872;Муж;37;ЧГУ;2008
874;Муж;27;РГСУ;2011
876;Муж;32;ТТИ ЮФУ;2008
878;Муж;28;СГЭУ;2012
879;Муж;24;ВолгГАСУ;2014
882;Муж;29;СГТУ;2010
883;Муж;47;ЧГУ им. Ульянова;1994
885;Муж;41;ЧГУ;1996
887;Муж;39;ПГУ;2007
888;Муж;36;МГОУ;2010
889;Муж;26;КемТИПП;N/A
890;Муж;25;ИрГТУ;2014
891;Муж;25;КузГТУ;2013
892;Жен;28;ДВГТУ;2010
893;Муж;41;УрФУ;N/A
894;Муж;46;ПГСХА;N/A
895;Муж;38;ТюмГАСУ;2002
896;Жен;32;ДВФУ;2006
899;Жен;39;БГТУ им. Шухова;2003
900;Муж;24;ТПУ;2014
901;Жен;30;ЮФУ;N/A
904;Жен;35;ЮУрГУ;2004
906;Муж;39;БелГУ;1997
908;Муж;37;РУДН;2003
910;Муж;28;КузГТУ;N/A
915;Жен;30;СЗТУ;N/A
916;Жен;43;СПбГАСУ;1997
917;Жен;40;ВГУ;N/A
919;Муж;24;СПбГУ;2014
920;Муж;27;СПбГУ;N/A
921;Муж;46;УРАО;2008
922;Муж;34;ВЭПИ;N/A
923;Муж;27;НГПУ им. Козьмы Минина;2011
924;Муж;24;КубГУ;2014
925;Муж;23;НИ МГУ им. Огарева;2015
927;Муж;34;ЮЗГУ;N/A
928;Муж;40;ДВГУПС;1998
929;Жен;25;ННГАСУ;2009
931;Муж;34;БГАРФ;2000
932;Жен;27;РГСУ;N/A
934;Жен;50;РГГУ;2002
935;Жен;39;СГУ;N/A
936;Муж;25;ПетрГУ;N/A
937;Муж;28;ВГСХА;2011
940;Муж;58;НГУЭУ;1984
942;Жен;26;ТУСУР;2013
943;Муж;53;ВГУ;1985
944;Муж;37;ТГУ им. Державина;N/A
946;Муж;31;РГРТУ;2007
947;Муж;26;ОГУ;2011
950;Муж;26;ННГУ им. Лобачевского;2012
951;Муж;26;БГУ им. Петровского;2013
952;Муж;39;УГТУ-УПИ;2007
953;Муж;20;СибГУТИ;N/A
954;Жен;45;КГУ им. Некрасова;1992
956;Муж;28;СГА;2009
957;Жен;37;ВолгГТУ;2004
958;Жен;28;РУК;2012
959;Жен;31;РГТЭУ;N/A
960;Муж;27;ВятГГУ;2013
962;Муж;38;КГСХА;2000
963;Жен;39;КФУ;2009
964;Муж;30;ИНЭКА;2010
965;Муж;38;СибГТУ;2000
966;Муж;33;БУПК;2005
967;Жен;34;ПГПУ им. Белинского;2004
969;Муж;37;ЮРГТУ;2000
970;Муж;27;СГУ;2011
973;Муж;25;ТУСУР;2014
974;Муж;29;ИГХТУ;2009
975;Муж;31;КубГУ;2007
979;Жен;28;ВолгГТУ;2012
980;Муж;26;ВолгГТУ;2013
981;Муж;28;СПбГУАП;2012
982;Муж;25;АлтГТУ им. Ползунова;N/A
983;Муж;21;МГУ;2012
984;Муж;38;ПГУАС;2003
985;Жен;25;МГОУ;N/A
986;Муж;59;РГРТУ;1979
988;Жен;42;СахГУ;N/A
989;Муж;26;КубГАУ;2015
990;Муж;31;НГТУ им. Алексеева;N/A
991;Жен;30;МГПУ;2013
992;Муж;42;ЧелГУ;2012
993;Жен;47;МГУ;N/A
994;Муж;42;ВКА им. Можайского;N/A
995;Муж;45;СГАУ им. Королева;N/A
996;Жен;31;МГТУ им. Н.Э. Баумана;N/A
1000;Муж;31;УрФУ им. Б. Н. Ельцина;N/A
1001;Муж;32;НИЯУ МИФИ;N/A
1002;Муж;34;КФУ;N/A
1005;Жен;23;Дальрыбвтуз;2015
1006;Жен;38;ВЭГУ;N/A
1010;Муж;25;МГИМО;2014
1011;Жен;25;КубГТУ;2014
1012;Муж;48;СевНТУ;1990
1013;Муж;33;РГУФКСМиТ;2008
1015;Муж;39;СевНТУ;2000
1016;Муж;40;ЮУрГУ;2001
1017;Муж;23;СПбГУ;2008
1018;Муж;32;СПбГУ;N/A
1019;Муж;34;СевКавГТУ;2004
1020;Муж;26;ТюмГНГУ;2012
1022;Муж;41;НГАВТ;2007
1024;Муж;29;ВГТУ;2010
1026;Муж;24;СПбГЭУ;2015
1028;Муж;38;МГГУ;2011
1029;Муж;44;МГТУ им. Н.Э. Баумана;1996
1030;Муж;52;КГТУ-КАИ им. Туполева;1992
1031;Муж;26;ТюмГАСУ;2013
1032;Муж;22;НИЯУ МИФИ;2014
1033;Жен;28;МГУ;2011
1034;Муж;47;МГУКИ;1996
1035;Муж;37;РГГУ;2007
1036;Муж;37;ВКА им. Можайского;2002
1038;Жен;30;ПГТУ;2009
1039;Жен;29;СтГАУ;N/A
1040;Муж;44;СибГУТИ;N/A
1041;Муж;29;ЧГУ им. Ульянова;2009
1042;Муж;30;МГУТУ;2012
1043;Муж;56;МГУ;1982
1044;Муж;24;МИРЭА;2015
