category;date_month;txn_count;payment;user_id
Служебная;2016-08;1;20;11195
Служебная;2016-09;1;10;11195
Служебная;2016-10;1;10;11195
Сотовая связь;2016-06;1;40;11195
Сотовая связь;2016-07;2;40;11195
Сотовая связь;2016-08;1;10;11195
Электронные деньги;2016-06;7;900;11195
Электронные деньги;2016-07;1;300;11195
Электронные деньги;2016-10;1;50;11195
VPP;2016-09;1;14800;7358
VPP;2016-10;1;9200;7358
Интернет;2016-10;1;800;7358
Интернет;2016-12;2;450;7358
VPP;2016-09;2;500;11196
VPP;2016-10;1;2000;11196
Интернет магазины;2016-06;1;70;11196
Интернет магазины;2016-08;2;150;11196
Интернет магазины;2016-09;1;150;11196
Интернет магазины;2016-11;3;350;11196
Информационные услуги;2016-10;1;100;11196
Электронные деньги;2016-08;2;1000;11196
VPP;2016-10;1;1800;11197
Онлайн игры;2016-08;1;300;11197
Онлайн игры;2016-09;1;200;11197
Сотовая связь;2016-07;2;100;11197
Сотовая связь;2016-08;3;200;11197
Сотовая связь;2016-09;3;80;11197
Сотовая связь;2016-10;2;60;11197
Сотовая связь;2016-11;2;100;11197
VPP;2016-06;2;1700;6399
Букмекеры;2016-06;15;7800;6399
Букмекеры;2016-10;1;400;6399
Игры со ставками;2016-07;2;1000;6399
Игры со ставками;2016-10;6;11600;6399
Служебная;2016-09;1;10;6399
Служебная;2016-10;1;10;6399
Служебная;2016-06;1;10;11199
Служебная;2016-09;1;10;11199
Служебная;2016-10;1;20;11199
Служебная;2016-11;1;10;11199
Служебная;2016-12;1;30;11199
Сотовая связь;2016-06;1;20;11199
Сотовая связь;2016-09;2;40;11199
Электронные деньги;2016-06;1;10;11199
Электронные деньги;2016-10;1;10;11199
Интернет;2016-06;1;900;6400
Интернет;2016-07;1;900;6400
Интернет;2016-08;1;900;6400
Интернет;2016-09;2;1100;6400
Интернет;2016-10;1;1000;6400
Интернет;2016-11;1;1000;6400
Онлайн игры;2016-10;1;20;6400
Сотовая связь;2016-07;1;100;6400
Сотовая связь;2016-08;2;200;6400
Сотовая связь;2016-10;1;100;6400
Интернет магазины;2016-06;3;300;10143
Интернет магазины;2016-07;2;200;10143
Интернет магазины;2016-08;6;1200;10143
Интернет магазины;2016-09;5;1400;10143
Интернет магазины;2016-11;2;350;10143
Онлайн игры;2016-10;1;150;10143
QVP;2016-06;10;6200;1063
QVP;2016-07;31;12900;1063
QVP;2016-08;4;2000;1063
QVP;2016-09;2;450;1063
QVP;2016-10;5;5100;1063
QVP;2016-11;9;2700;1063
Интернет;2016-07;1;600;1063
Интернет;2016-09;1;500;1063
Погашение кредитов;2016-06;1;2000;1063
Погашение кредитов;2016-07;1;2000;1063
Погашение кредитов;2016-08;1;2000;1063
Погашение кредитов;2016-09;1;2000;1063
Погашение кредитов;2016-10;1;2000;1063
Погашение кредитов;2016-11;1;2100;1063
Предоставление займов;2016-06;1;7000;1063
Предоставление займов;2016-07;1;3300;1063
Предоставление займов;2016-08;1;9200;1063
Предоставление займов;2016-09;1;4200;1063
Предоставление займов;2016-11;1;700;1063
Служебная;2016-07;1;20;1063
Служебная;2016-08;1;10;1063
Служебная;2016-09;1;10;1063
Служебная;2016-10;1;30;1063
Служебная;2016-11;1;30;1063
Сотовая связь;2016-06;10;2200;1063
Сотовая связь;2016-07;4;2000;1063
Сотовая связь;2016-08;3;1700;1063
Сотовая связь;2016-09;4;150;1063
Сотовая связь;2016-11;1;350;1063
Сотовая связь;2016-12;1;10;1063
MCMS;2016-06;1;1000;8737
MCMS;2016-08;1;450;8737
MCMS;2016-09;2;2900;8737
MCMS;2016-10;2;2700;8737
MCMS;2016-11;2;3900;8737
Букмекеры;2016-06;5;3300;8737
Букмекеры;2016-10;1;300;8737
Букмекеры;2016-11;1;200;8737
Погашение кредитов;2016-06;1;900;8737
Игры со ставками;2016-10;1;20;11201
Интернет магазины;2016-11;2;60;11201
Лотереи;2016-10;1;40;11201
Онлайн игры;2016-09;2;50;11201
Онлайн игры;2016-10;2;20;11201
Электронные деньги;2016-08;2;50;11201
Электронные деньги;2016-10;1;150;11201
Электронные деньги;2016-11;3;300;11201
Онлайн игры;2016-09;1;20;11202
Служебная;2016-06;1;10;11202
Сотовая связь;2016-07;1;20;11202
Сотовая связь;2016-08;1;10;11202
Интернет магазины;2016-06;1;900;11203
Сотовая связь;2016-08;1;100;11203
Сотовая связь;2016-09;1;400;11203
Сотовая связь;2016-10;1;400;11203
Сотовая связь;2016-11;2;500;11203
Интернет магазины;2016-08;3;400;11205
Интернет магазины;2016-09;6;1300;11205
Интернет магазины;2016-11;2;500;11205
MCMS;2016-09;2;8000;3126
MCMS;2016-11;1;24900;3126
Интернет;2016-06;3;150;3126
Информационные услуги;2016-06;5;1700;3126
Информационные услуги;2016-07;4;700;3126
Информационные услуги;2016-08;12;1600;3126
Информационные услуги;2016-09;8;1400;3126
Информационные услуги;2016-10;7;800;3126
Информационные услуги;2016-11;7;1500;3126
Сотовая связь;2016-06;10;400;3126
Сотовая связь;2016-07;22;800;3126
Сотовая связь;2016-08;13;600;3126
Сотовая связь;2016-09;10;600;3126
Сотовая связь;2016-10;13;700;3126
Сотовая связь;2016-11;10;250;3126
Электронные деньги;2016-06;5;15000;3126
Электронные деньги;2016-07;4;7100;3126
Электронные деньги;2016-08;1;10;3126
Электронные деньги;2016-09;2;600;3126
Электронные деньги;2016-11;6;800;3126
VPP;2016-08;1;150;11206
Игры со ставками;2016-09;2;200;11206
Онлайн игры;2016-08;1;150;11206
Сотовая связь;2016-09;1;100;11206
Форекс;2016-08;1;250;11206
Форекс;2016-09;1;250;11206
Электронные деньги;2016-07;1;400;11206
Электронные деньги;2016-08;4;250;11206
Электронные деньги;2016-09;1;60;11206
Электронные деньги;2016-10;4;800;11206
Электронные деньги;2016-11;1;100;11206
Игры со ставками;2016-07;2;250;11207
Игры со ставками;2016-09;1;200;11207
Интернет магазины;2016-08;2;6400;11209
Интернет магазины;2016-11;1;900;11209
Информационные услуги;2016-06;1;50;11209
Информационные услуги;2016-07;1;100;11209
Сотовая связь;2016-06;3;500;11209
Сотовая связь;2016-07;3;500;11209
Сотовая связь;2016-08;3;1100;11209
Сотовая связь;2016-09;3;200;11209
Сотовая связь;2016-10;1;100;11209
Форекс;2016-07;1;1000;11209
Хостинг;2016-06;1;150;11209
Хостинг;2016-08;1;150;11209
Электронные деньги;2016-07;5;1800;11209
Электронные деньги;2016-08;8;2000;11209
VPP;2016-08;2;4800;2117
Букмекеры;2016-07;1;50;2117
Букмекеры;2016-08;1;100;2117
Букмекеры;2016-11;1;100;2117
Букмекеры;2016-06;7;19200;11210
Букмекеры;2016-10;1;1000;11210
Игры со ставками;2016-09;1;350;11210
Онлайн игры;2016-06;3;1500;11210
Онлайн игры;2016-07;3;2700;11210
Онлайн игры;2016-08;5;3700;11210
Онлайн игры;2016-09;5;1300;11210
Онлайн игры;2016-10;4;2500;11210
Онлайн игры;2016-11;2;2800;11210
Служебная;2016-07;1;10;11210
Служебная;2016-08;1;20;11210
Служебная;2016-09;1;20;11210
Служебная;2016-11;1;10;11210
Электронные деньги;2016-11;1;400;11211
Букмекеры;2016-06;6;2500;5337
Букмекеры;2016-07;1;1000;5337
Букмекеры;2016-09;2;1500;5337
Букмекеры;2016-11;3;3000;5337
Интернет;2016-06;1;600;5337
Интернет магазины;2016-07;2;900;5337
Интернет магазины;2016-09;4;250;5337
Онлайн общение;2016-06;1;150;5337
Сотовая связь;2016-06;3;200;5337
Букмекеры;2016-06;12;27000;2083
Букмекеры;2016-08;12;29500;2083
Букмекеры;2016-09;9;28000;2083
Букмекеры;2016-10;20;51500;2083
Букмекеры;2016-11;11;20400;2083
Интернет;2016-11;1;300;2083
Сотовая связь;2016-11;2;200;2083
QVC;2016-07;1;500;11212
Онлайн игры;2016-06;3;1000;11212
Онлайн игры;2016-07;2;200;11212
Онлайн игры;2016-08;4;2200;11212
Онлайн игры;2016-09;2;700;11212
Онлайн игры;2016-10;3;700;11212
Сотовая связь;2016-08;1;150;11212
Сотовая связь;2016-10;1;150;11212
Интернет магазины;2016-09;2;200;11214
Электронные деньги;2016-07;3;10000;7366
Онлайн игры;2016-07;1;60;11215
Онлайн игры;2016-08;1;60;11215
Интернет;2016-07;3;1600;11216
Сотовая связь;2016-06;8;800;11216
Сотовая связь;2016-07;4;600;11216
QVC;2016-08;1;1400;5339
VPP;2016-09;2;2500;5339
Информационные услуги;2016-06;1;3900;5339
Сотовая связь;2016-09;2;200;5339
Хостинг;2016-07;1;600;5339
Хостинг;2016-08;1;600;5339
Хостинг;2016-09;1;600;5339
Хостинг;2016-10;1;600;5339
Электронные деньги;2016-06;4;9600;5339
Электронные деньги;2016-10;2;1400;5339
QVP;2016-06;11;600;6401
QVP;2016-07;3;60;6401
QVP;2016-08;14;2800;6401
QVP;2016-09;17;2700;6401
QVP;2016-11;18;1600;6401
QVP;2016-12;1;40;6401
ЖКУ;2016-09;1;3000;6401
ЖКУ;2016-10;1;600;6401
Интернет;2016-07;1;500;6401
Интернет;2016-08;4;1000;6401
Интернет;2016-09;1;80;6401
Интернет;2016-11;1;500;6401
Международная/междугородняя связь;2016-07;3;100;6401
Международная/междугородняя связь;2016-08;1;100;6401
Международная/междугородняя связь;2016-09;2;200;6401
Международная/междугородняя связь;2016-10;3;250;6401
Международная/междугородняя связь;2016-11;1;10;6401
Сотовая связь;2016-06;2;10;6401
Сотовая связь;2016-08;3;50;6401
Сотовая связь;2016-09;9;1600;6401
Сотовая связь;2016-10;4;400;6401
Сотовая связь;2016-11;4;350;6401
QVV;2016-08;1;300;11218
Служебная;2016-07;1;20;11218
Служебная;2016-08;1;20;11218
Служебная;2016-09;1;20;11218
Служебная;2016-10;1;30;11218
Служебная;2016-11;1;30;11218
Электронные деньги;2016-07;1;250;11218
Электронные деньги;2016-09;1;900;11218
QVC;2016-10;1;10300;6406
Интернет;2016-10;1;400;6406
Интернет;2016-11;2;400;6406
Сотовая связь;2016-11;1;250;6406
Интернет;2016-06;1;600;2118
Интернет;2016-07;1;600;2118
Интернет;2016-08;1;600;2118
Интернет;2016-09;1;600;2118
Интернет;2016-10;1;600;2118
Интернет;2016-11;1;600;2118
Регистрация доменов;2016-08;1;600;2118
Сотовая связь;2016-06;4;200;2118
Сотовая связь;2016-08;3;150;2118
Сотовая связь;2016-09;1;50;2118
Сотовая связь;2016-10;4;250;2118
Сотовая связь;2016-11;3;200;2118
Форекс;2016-07;1;1000;2118
Хостинг;2016-09;2;20;2118
Хостинг;2016-10;4;100;2118
Хостинг;2016-11;4;600;2118
Электронные деньги;2016-06;4;800;2118
Электронные деньги;2016-07;2;400;2118
Электронные деньги;2016-08;1;50;2118
Сотовая связь;2016-08;1;50;11219
Сотовая связь;2016-10;1;300;11219
Страхование;2016-06;1;3600;11219
Страхование;2016-09;1;3600;11219
MCMS;2016-11;1;2000;11221
Погашение кредитов;2016-08;1;4000;11221
Онлайн игры;2016-06;1;100;11222
Онлайн игры;2016-08;1;100;11222
Электронные деньги;2016-10;1;100;11222
Электронные деньги;2016-11;1;200;11222
QVP;2016-06;1;500;7367
QVP;2016-10;1;2500;7367
QVP;2016-11;1;1200;7367
Информационные услуги;2016-09;1;32500;7367
Интернет магазины;2016-08;1;150;11223
Интернет магазины;2016-10;1;100;11223
Интернет магазины;2016-11;3;1100;11223
Информационные услуги;2016-10;1;30;11223
Сотовая связь;2016-11;1;200;11223
Погашение кредитов;2016-06;2;3500;1079
Погашение кредитов;2016-07;2;3800;1079
Погашение кредитов;2016-08;4;6800;1079
Погашение кредитов;2016-10;1;3600;1079
Погашение кредитов;2016-11;1;3600;1079
QVC;2016-09;5;5100;1078
QVC;2016-10;1;10;1078
Переводы без открытия счета по свободным реквизитам;2016-07;1;500;1078
Переводы без открытия счета по свободным реквизитам;2016-09;1;1600;1078
Переводы без открытия счета по свободным реквизитам;2016-10;1;800;1078
Переводы без открытия счета по свободным реквизитам;2016-11;1;1100;1078
Сотовая связь;2016-07;2;150;1078
Сотовая связь;2016-08;6;350;1078
Сотовая связь;2016-09;6;400;1078
Сотовая связь;2016-10;2;200;1078
Сотовая связь;2016-11;1;40;1078
Электронные деньги;2016-08;1;600;1078
Электронные деньги;2016-10;1;60;1078
MCMS;2016-09;1;200;10490
QVC;2016-09;1;1400;10490
Интернет магазины;2016-09;1;450;10490
Интернет магазины;2016-10;1;700;10490
Сотовая связь;2016-06;8;1300;10490
Сотовая связь;2016-07;6;1200;10490
Сотовая связь;2016-08;4;350;10490
Сотовая связь;2016-09;5;1100;10490
Сотовая связь;2016-10;4;700;10490
Сотовая связь;2016-11;1;100;10490
Электронные деньги;2016-07;3;3800;10490
Электронные деньги;2016-08;1;700;10490
QVC;2016-06;47;52000;2108
QVC;2016-07;28;25300;2108
VPP;2016-08;1;2900;2107
VPP;2016-10;1;2500;2107
Денежные переводы;2016-06;1;2300;2107
Денежные переводы;2016-07;2;7800;2107
Денежные переводы;2016-08;2;5900;2107
Сотовая связь;2016-06;1;30;2107
Сотовая связь;2016-07;3;1000;2107
Сотовая связь;2016-08;3;200;2107
Сотовая связь;2016-10;1;200;2107
Сотовая связь;2016-06;9;3000;11225
Сотовая связь;2016-07;8;2500;11225
Сотовая связь;2016-08;5;500;11225
Интернет магазины;2016-10;3;600;11226
Интернет магазины;2016-11;3;200;11226
Онлайн игры;2016-06;1;10;11226
Онлайн игры;2016-07;2;20;11226
Онлайн игры;2016-08;4;30;11226
Онлайн игры;2016-09;1;10;11226
Онлайн игры;2016-10;4;50;11226
Онлайн игры;2016-11;5;50;11226
MCMS;2016-09;1;450;4189
Интернет магазины;2016-07;3;30;4189
Интернет магазины;2016-08;9;90;4189
Интернет магазины;2016-09;12;200;4189
Интернет магазины;2016-10;31;800;4189
Интернет магазины;2016-11;20;700;4189
Интернет магазины;2016-12;5;150;4189
VPP;2016-09;1;1700;11227
Интернет;2016-10;1;500;11227
Игры со ставками;2016-08;1;350;11228
Игры со ставками;2016-09;6;2000;11228
Интернет;2016-09;2;800;11228
Интернет;2016-10;1;150;11228
Онлайн игры;2016-07;1;800;11228
Онлайн игры;2016-11;1;450;11228
MCMS;2016-06;1;350;11229
VPP;2016-07;1;4800;11229
Игры со ставками;2016-06;22;12300;11229
Информационные услуги;2016-06;2;100;11229
Онлайн игры;2016-07;1;50;11229
Погашение кредитов;2016-06;1;5500;3129
Погашение кредитов;2016-07;1;5500;3129
Погашение кредитов;2016-09;1;5500;3129
Погашение кредитов;2016-10;1;5500;3129
Погашение кредитов;2016-11;2;11000;3129
Сотовая связь;2016-09;1;40;3129
VPP;2016-10;1;2400;4190
VPP;2016-11;1;600;4190
Онлайн игры;2016-07;1;20;4190
Сотовая связь;2016-10;1;100;4190
Сотовая связь;2016-11;2;150;4190
Форекс;2016-06;1;1300;4190
Форекс;2016-10;5;6300;4190
Форекс;2016-11;3;3200;4190
VPP;2016-07;1;1200;2064
VPP;2016-08;1;1200;2064
VPP;2016-09;1;1300;2064
VPP;2016-10;1;2500;2064
VPP;2016-11;1;1500;2064
VPP;2016-10;1;3400;2084
Госуслуги;2016-08;1;250;2084
Госуслуги;2016-09;1;1000;2084
ЖКУ;2016-06;2;1600;2084
ЖКУ;2016-07;2;1700;2084
ЖКУ;2016-08;2;1000;2084
ЖКУ;2016-09;2;600;2084
ЖКУ;2016-10;2;1100;2084
ЖКУ;2016-11;2;1100;2084
Интернет;2016-06;2;800;2084
Интернет;2016-07;1;400;2084
Интернет;2016-09;1;300;2084
Интернет;2016-10;1;350;2084
Интернет;2016-11;1;400;2084
Интернет магазины;2016-08;1;300;2084
Интернет магазины;2016-11;1;2600;2084
Местная связь;2016-06;2;350;2084
Местная связь;2016-07;1;200;2084
Местная связь;2016-09;1;150;2084
Местная связь;2016-10;1;200;2084
Местная связь;2016-11;1;200;2084
Сотовая связь;2016-06;7;350;2084
Сотовая связь;2016-07;8;500;2084
Сотовая связь;2016-08;8;400;2084
Сотовая связь;2016-09;7;400;2084
Сотовая связь;2016-10;9;450;2084
Сотовая связь;2016-11;7;400;2084
Сотовая связь;2016-12;1;50;2084
VPP;2016-11;2;1200;3127
Букмекеры;2016-06;20;5500;3127
Букмекеры;2016-07;16;2400;3127
Букмекеры;2016-08;14;3800;3127
Букмекеры;2016-09;16;7500;3127
Букмекеры;2016-10;23;5500;3127
Букмекеры;2016-11;20;4900;3127
ЖКУ;2016-11;2;10;3127
Сотовая связь;2016-06;3;800;3127
Сотовая связь;2016-07;1;20;3127
Сотовая связь;2016-08;2;400;3127
Сотовая связь;2016-09;4;450;3127
Сотовая связь;2016-10;1;400;3127
Сотовая связь;2016-11;3;400;3127
Электронные деньги;2016-07;1;600;3127
Электронные деньги;2016-09;2;1200;3127
Электронные деньги;2016-10;1;600;3127
Интернет магазины;2016-11;1;900;11230
Сотовая связь;2016-07;2;350;11230
Сотовая связь;2016-11;3;350;11230
Электронные деньги;2016-06;1;900;11230
Электронные деньги;2016-07;1;450;11230
Электронные деньги;2016-08;1;450;11230
Электронные деньги;2016-09;1;450;11230
Электронные деньги;2016-11;1;900;11230
Погашение кредитов;2016-06;1;1400;5340
Погашение кредитов;2016-07;1;1400;5340
Погашение кредитов;2016-08;1;1500;5340
Погашение кредитов;2016-09;1;1400;5340
Погашение кредитов;2016-10;1;2000;5340
Погашение кредитов;2016-11;1;2000;5340
Букмекеры;2016-06;1;20;11231
Букмекеры;2016-08;4;80;11231
Букмекеры;2016-09;3;40;11231
Букмекеры;2016-10;1;10;11231
Букмекеры;2016-11;10;200;11231
Погашение кредитов;2016-06;1;3000;3128
Погашение кредитов;2016-07;2;3400;3128
Погашение кредитов;2016-08;1;1000;3128
Погашение кредитов;2016-09;5;4100;3128
Погашение кредитов;2016-10;3;6000;3128
Погашение кредитов;2016-11;2;4000;3128
IP-телефония;2016-09;1;100;9092
QVV;2016-07;1;250;9092
Сотовая связь;2016-10;1;300;9092
Хостинг;2016-06;1;200;9092
Хостинг;2016-07;1;500;9092
Электронные деньги;2016-07;3;2200;9092
Электронные деньги;2016-09;1;200;9092
Электронные деньги;2016-10;2;1600;9092
Электронные деньги;2016-11;1;100;9092
Букмекеры;2016-06;4;1800;7368
